,algorithm,district,parameters,shared cost,own cost,time
0,hill_climber,1,random selection of 50,34540,58678,31.534870147705078
1,hill_climber,1,random selection of 50,34630,58129,25.2533860206604
2,hill_climber,1,random selection of 50,34459,58444,20.866995811462402
3,hill_climber,1,random selection of 50,34666,58300,28.34320092201233
4,hill_climber,1,random selection of 50,34666,58363,33.024139165878296
5,hill_climber,1,random selection of 50,34540,58624,24.613545417785645
6,hill_climber,1,random selection of 50,34891,58993,21.322820901870728
7,hill_climber,1,random selection of 50,35062,58696,19.397141933441162
8,hill_climber,1,random selection of 50,34558,58327,24.49390983581543
9,hill_climber,1,random selection of 50,34891,57976,23.56757092475891
10,hill_climber,1,random selection of 50,34837,58597,28.795387983322144
11,hill_climber,1,random selection of 50,34927,59398,31.506719827651978
12,hill_climber,1,random selection of 50,34486,58264,19.66713809967041
13,hill_climber,1,random selection of 50,34306,58696,22.31387209892273
14,hill_climber,1,random selection of 50,34801,58345,23.187538862228394
15,hill_climber,1,random selection of 50,34792,58552,22.37991213798523
16,hill_climber,1,random selection of 50,34729,57976,20.009859085083008
17,hill_climber,1,random selection of 50,34414,58165,25.920747995376587
18,hill_climber,1,random selection of 50,34918,58453,27.782041788101196
19,hill_climber,1,random selection of 50,34144,58156,23.170585870742798
20,hill_climber,1,random selection of 50,34117,58075,26.8849778175354
21,hill_climber,1,random selection of 50,34135,58426,30.03147792816162
22,hill_climber,1,random selection of 50,34963,58417,18.06549096107483
23,hill_climber,1,random selection of 50,35566,58507,21.651837825775146
24,hill_climber,1,random selection of 50,34477,58615,20.027209758758545
25,hill_climber,1,random selection of 50,34909,59560,19.59381103515625
26,hill_climber,1,random selection of 50,34459,58993,29.07149910926819
27,hill_climber,1,random selection of 50,35026,59992,24.062612056732178
28,hill_climber,1,random selection of 50,34774,57868,20.155770301818848
29,hill_climber,1,random selection of 50,34648,58408,29.433072805404663
30,hill_climber,1,random selection of 50,34630,58066,28.666407108306885
31,hill_climber,1,random selection of 50,34558,58642,24.033887147903442
32,hill_climber,1,random selection of 50,34891,58165,18.71646285057068
33,hill_climber,1,random selection of 50,34018,58372,25.110733032226562
34,hill_climber,1,random selection of 50,34054,57787,25.707791090011597
35,hill_climber,1,random selection of 50,34666,58165,26.568970918655396
36,hill_climber,1,random selection of 50,33874,58624,26.638170957565308
37,hill_climber,1,random selection of 150,33991,57814,26.252440690994263
38,hill_climber,1,random selection of 150,34630,58138,22.11227583885193
39,hill_climber,1,random selection of 150,35458,57688,24.078339099884033
40,hill_climber,1,random selection of 150,35269,58723,24.186227798461914
41,hill_climber,1,random selection of 150,34189,57967,20.977335929870605
42,hill_climber,1,random selection of 150,34225,57769,31.85986089706421
43,hill_climber,1,random selection of 150,34810,57499,27.073203086853027
44,hill_climber,1,random selection of 150,34144,57427,27.55191421508789
45,hill_climber,1,random selection of 150,34351,57535,28.862721920013428
46,hill_climber,1,random selection of 150,34351,58237,26.863614082336426
47,hill_climber,1,random selection of 150,33640,56599,32.797011852264404
48,hill_climber,1,random selection of 150,35332,58957,22.31632399559021
49,hill_climber,1,random selection of 150,34468,58498,26.02767515182495
50,hill_climber,1,random selection of 150,35269,58516,21.582307815551758
51,hill_climber,1,random selection of 150,34882,58615,21.661895036697388
52,hill_climber,1,random selection of 150,35179,57634,30.797300100326538
53,hill_climber,1,random selection of 150,34378,57175,24.749016761779785
