,algorithm,district,parameters,shared cost,own cost,time
0,random,1,random selection of 50,34612,58381,47.66226315498352
1,random,1,random selection of 50,34324,58444,65.23410296440125
2,random,1,random selection of 50,34927,57877,66.9166328907013
3,random,1,random selection of 50,35071,58300,57.475958824157715
4,random,1,random selection of 50,34738,58723,66.02751207351685
5,random,1,random selection of 50,34279,57931,67.99788427352905
6,random,1,random selection of 50,34846,58570,69.18329787254333
7,random,1,random selection of 50,34522,58498,82.36256384849548
8,random,1,random selection of 50,34027,57580,71.86749482154846
9,random,1,random selection of 50,34144,58561,67.23843312263489
10,random,1,random selection of 50,34135,58111,75.03872275352478
11,random,1,random selection of 50,34270,58273,61.970685958862305
12,random,1,random selection of 50,34360,58219,65.1841721534729
13,random,1,random selection of 50,33964,58264,47.71793508529663
14,random,1,random selection of 50,34513,58480,38.20528197288513
15,random,1,random selection of 50,34090,58462,33.75565719604492
16,random,1,random selection of 50,34396,58390,51.23420214653015
17,random,1,random selection of 50,34738,57643,30.431573152542114
