,algorithm,district,parameters,shared cost,own cost,time
0,random,1,N/A,45556,77101,0.0055119991302490234
1,random,1,N/A,44584,76066,0.0035648345947265625
2,random,1,N/A,46231,77191,0.02707195281982422
3,random,1,N/A,45187,75463,0.0034160614013671875
4,random,1,N/A,44701,76327,0.004746913909912109
5,random,1,N/A,45160,75859,0.009320974349975586
6,random,1,N/A,45061,74995,0.006403684616088867
7,random,1,N/A,44278,74545,0.004191160202026367
8,random,1,N/A,45880,79090,0.0073070526123046875
9,random,1,N/A,45376,75220,0.0048367977142333984
10,random,1,N/A,44566,73447,0.004050016403198242
11,random,1,N/A,46069,76300,0.006552219390869141
12,random,1,N/A,45466,74833,0.011740922927856445
13,random,1,N/A,45583,75364,0.006548881530761719
14,random,1,N/A,44701,75895,0.00797891616821289
15,random,1,N/A,46735,76948,0.004721879959106445
16,random,1,N/A,44341,76129,0.0075588226318359375
17,random,1,N/A,46771,77380,0.0038230419158935547
18,random,1,N/A,43441,73843,0.0039272308349609375
19,random,1,N/A,46123,79009,0.0039501190185546875
20,random,1,N/A,44053,75814,0.0032739639282226562
21,random,1,N/A,44350,76741,0.009158134460449219
22,random,1,N/A,44971,76399,0.011141061782836914
23,random,1,N/A,44224,75526,0.022463083267211914
24,random,1,N/A,44701,75589,0.0036950111389160156
25,random,1,N/A,45187,74833,0.003947019577026367
26,random,1,N/A,46177,77254,0.01757073402404785
27,random,1,N/A,45619,76165,0.00434422492980957
28,random,1,N/A,45475,76381,0.005655050277709961
29,random,1,N/A,44143,75058,0.0064029693603515625
30,random,1,N/A,45520,76156,0.0043849945068359375
31,random,1,N/A,44170,74455,0.013667106628417969
32,random,1,N/A,46465,77533,0.006164073944091797
33,random,1,N/A,44665,75175,0.008837699890136719
34,random,1,N/A,43909,77272,0.00904703140258789
35,random,1,N/A,44836,75193,0.004260063171386719
36,random,1,N/A,43990,75661,0.005166053771972656
37,random,1,N/A,44818,77092,0.005502939224243164
38,random,1,N/A,44638,78559,0.005688905715942383
39,random,1,N/A,43999,72898,0.006933927536010742
40,random,1,N/A,44206,75436,0.006337881088256836
41,random,1,N/A,45106,74914,0.003668069839477539
42,random,1,N/A,45412,75985,0.007251262664794922
43,random,1,N/A,44260,73951,0.006021261215209961
44,random,1,N/A,44854,78298,0.003854990005493164
45,random,1,N/A,44584,75067,0.025343894958496094
46,random,1,N/A,45232,77497,0.004025936126708984
47,random,1,N/A,44854,77560,0.0046160221099853516
48,random,1,N/A,44107,77290,0.0031430721282958984
49,random,1,N/A,45961,79162,0.003386259078979492
50,random,1,N/A,43747,75274,0.004208803176879883
51,random,1,N/A,45358,74905,0.006202220916748047
52,random,1,N/A,43711,74221,0.003175020217895508
53,random,1,N/A,45016,74518,0.003651857376098633
54,random,1,N/A,44899,75598,0.0057430267333984375
55,random,1,N/A,45313,74536,0.0031468868255615234
56,random,1,N/A,45349,75418,0.009588003158569336
57,random,1,N/A,44629,77713,0.007459878921508789
58,random,1,N/A,44917,76552,0.013724088668823242
59,random,1,N/A,44773,73132,0.0074579715728759766
60,random,1,N/A,45592,76894,0.0034313201904296875
61,random,1,N/A,44062,75742,0.009002923965454102
62,random,1,N/A,44998,77011,0.0033762454986572266
63,random,1,N/A,45367,76372,0.004318952560424805
64,random,1,N/A,45223,76822,0.003428220748901367
65,random,1,N/A,42856,71251,0.0035858154296875
66,random,1,N/A,43927,76057,0.003233194351196289
67,random,1,N/A,45853,80494,0.022448062896728516
68,random,1,N/A,44944,77353,0.007112979888916016
69,random,1,N/A,45475,75823,0.004391908645629883
70,random,1,N/A,45520,78487,0.003898143768310547
71,random,1,N/A,44278,74041,0.004113912582397461
72,random,1,N/A,44692,75265,0.0069963932037353516
73,random,1,N/A,44782,75724,0.011456966400146484
74,random,1,N/A,43333,72988,0.005608081817626953
75,random,1,N/A,44017,73708,0.0073969364166259766
76,random,1,N/A,44512,73924,0.015697002410888672
