,algorithm,district,parameters,shared cost,own cost,time
0,random,1,N/A,44224,73267,0.004674196243286133
1,random,1,N/A,42829,73339,0.014586210250854492
2,random,1,N/A,43846,74275,0.0043141841888427734
3,random,1,N/A,44863,74302,0.007376194000244141
4,random,1,N/A,45448,75544,0.007737874984741211
5,random,1,N/A,44296,75202,0.0025148391723632812
6,random,1,N/A,44305,74005,0.0040171146392822266
7,random,1,N/A,44287,74986,0.0023469924926757812
8,random,1,N/A,45925,77128,0.00444483757019043
9,random,1,N/A,43990,77821,0.007790803909301758
10,random,1,N/A,45277,75283,0.003683805465698242
11,random,1,N/A,45610,80134,0.0032410621643066406
12,random,1,N/A,44890,75598,0.0027310848236083984
13,random,1,N/A,44881,76210,0.0030570030212402344
14,random,1,N/A,44863,77155,0.0049631595611572266
15,random,1,N/A,44926,76327,0.0034279823303222656
16,random,1,N/A,44395,75328,0.0043447017669677734
17,random,1,N/A,43063,73897,0.0042629241943359375
18,random,1,N/A,45331,78991,0.0066852569580078125
19,random,1,N/A,45916,75958,0.003504037857055664
20,random,1,N/A,42640,74644,0.003688812255859375
21,random,1,N/A,43918,73087,0.002956867218017578
22,random,1,N/A,45106,74545,0.0036721229553222656
23,random,1,N/A,45781,77848,0.0031130313873291016
24,random,1,N/A,43945,75013,0.01770806312561035
25,random,1,N/A,44971,75247,0.0024421215057373047
26,random,1,N/A,44377,77074,0.002457141876220703
27,random,1,N/A,46231,77101,0.0043370723724365234
28,random,1,N/A,45934,77128,0.0024619102478027344
29,random,1,N/A,45133,73618,0.002969026565551758
30,random,1,N/A,44593,75769,0.003582000732421875
31,random,1,N/A,43675,75589,0.004350900650024414
32,random,1,N/A,44206,74761,0.0023720264434814453
33,random,1,N/A,43999,74860,0.0023682117462158203
34,random,1,N/A,44629,74959,0.0033316612243652344
35,random,1,N/A,45106,75553,0.009790182113647461
36,random,1,N/A,43999,74419,0.004395008087158203
37,random,1,N/A,45421,76903,0.004065036773681641
38,random,1,N/A,42127,72754,0.003590822219848633
39,random,1,N/A,45700,74761,0.003008127212524414
40,random,1,N/A,45322,77686,0.004392862319946289
41,random,1,N/A,44377,74464,0.002962827682495117
42,random,1,N/A,44755,77614,0.0037729740142822266
43,random,1,N/A,44017,76822,0.002741098403930664
44,random,1,N/A,45484,76039,0.002784252166748047
45,random,1,N/A,45637,75103,0.002393960952758789
46,random,1,N/A,44881,75202,0.0033631324768066406
47,random,1,N/A,44107,74158,0.003657102584838867
48,random,1,N/A,43900,75562,0.01813817024230957
49,random,1,N/A,45952,78253,0.0037932395935058594
50,random,1,N/A,45763,74194,0.002346038818359375
51,random,1,N/A,46780,78253,0.004204988479614258
52,random,1,N/A,44161,75985,0.0031478404998779297
53,random,1,N/A,45367,76912,0.00625300407409668
