,algorithm,district,parameters,shared cost,own cost,time
0,random,1,N/A,45736,78298,0.002579212188720703
1,random,1,N/A,45880,76930,0.017822980880737305
2,random,1,N/A,43531,75976,0.005774974822998047
3,random,1,N/A,44710,75904,0.0025310516357421875
4,random,1,N/A,43567,73591,0.0026760101318359375
5,random,1,N/A,44827,74257,0.005537986755371094
6,random,1,N/A,43297,73942,0.004658937454223633
7,random,1,N/A,44728,75949,0.005029916763305664
8,random,1,N/A,43486,74239,0.006220102310180664
9,random,1,N/A,44134,73492,0.006847381591796875
10,random,1,N/A,45448,76705,0.0024611949920654297
11,random,1,N/A,43954,74806,0.003368854522705078
12,random,1,N/A,45511,75319,0.00337982177734375
13,random,1,N/A,45439,77380,0.0028133392333984375
14,random,1,N/A,44998,75328,0.006592988967895508
15,random,1,N/A,43567,74500,0.003668069839477539
16,random,1,N/A,45088,76723,0.005046844482421875
17,random,1,N/A,45061,75751,0.0024199485778808594
18,random,1,N/A,45520,75481,0.0049397945404052734
19,random,1,N/A,45367,77227,0.011066913604736328
20,random,1,N/A,45655,77029,0.0033981800079345703
21,random,1,N/A,43927,74572,0.0027189254760742188
22,random,1,N/A,45187,74518,0.007229804992675781
23,random,1,N/A,44053,75022,0.0024139881134033203
24,random,1,N/A,44287,76471,0.014758825302124023
25,random,1,N/A,47014,76219,0.0024819374084472656
26,random,1,N/A,45457,75193,0.0027010440826416016
27,random,1,N/A,44332,75445,0.007580280303955078
28,random,1,N/A,45061,78604,0.003523111343383789
29,random,1,N/A,45034,77263,0.0031490325927734375
30,random,1,N/A,45394,77020,0.005370140075683594
31,random,1,N/A,45691,77407,0.0038309097290039062
32,random,1,N/A,43873,73429,0.0029709339141845703
33,random,1,N/A,44458,76417,0.0037162303924560547
34,random,1,N/A,44917,75121,0.0027337074279785156
35,random,1,N/A,44098,75121,0.004983186721801758
36,random,1,N/A,45052,74824,0.0030379295349121094
37,random,1,N/A,45331,79576,0.00644683837890625
38,random,1,N/A,45187,76750,0.0027718544006347656
39,random,1,N/A,44764,76147,0.002788066864013672
40,random,1,N/A,46654,75625,0.0030477046966552734
41,random,1,N/A,44818,72889,0.0026230812072753906
42,random,1,N/A,44404,75769,0.0027582645416259766
43,random,1,N/A,45124,77803,0.0028319358825683594
44,random,1,N/A,44314,74869,0.0027239322662353516
45,random,1,N/A,43423,75202,0.0033910274505615234
46,random,1,N/A,44836,75679,0.013195037841796875
47,random,1,N/A,43945,71548,0.0022232532501220703
48,random,1,N/A,43126,74230,0.007808208465576172
49,random,1,N/A,46528,76966,0.00798797607421875
50,random,1,N/A,45826,77164,0.002480745315551758
51,random,1,N/A,44359,76795,0.004088878631591797
52,random,1,N/A,44647,76255,0.0027871131896972656
53,random,1,N/A,44827,78343,0.003876209259033203
