,algorithm,district,parameters,shared cost,own cost,time
0,random,1,random selection of 150,34711,57724,60.745073318481445
1,random,1,random selection of 150,34846,58147,67.63159704208374
2,random,1,random selection of 150,34234,58732,60.00556492805481
3,random,1,random selection of 150,33919,58102,64.84564208984375
4,random,1,random selection of 150,34027,57256,69.58342623710632
5,random,1,random selection of 150,35053,57886,68.19265699386597
6,random,1,random selection of 150,35647,59074,47.35598802566528
7,random,1,random selection of 150,34333,57931,72.3700909614563
8,random,1,random selection of 150,34234,57625,73.18522214889526
9,random,1,random selection of 150,34981,58129,59.735841035842896
10,random,1,random selection of 150,34054,57985,148.97689199447632
11,random,1,random selection of 150,34558,57895,78.55994892120361
12,random,1,random selection of 150,35350,59461,54.90847373008728
13,random,1,random selection of 150,34900,57346,51.106346130371094
14,random,1,random selection of 150,34108,57355,56.358526945114136
15,random,1,random selection of 150,35107,59002,53.14460802078247
16,random,1,random selection of 150,36286,59686,49.02164912223816
17,random,1,random selection of 150,34486,58237,45.360687017440796
