,algorithm,district,parameters,shared cost,own cost,time
0,random,1,random selection of 50,35476,59560,16.36647391319275
1,random,1,random selection of 50,34423,57850,21.010298013687134
2,random,1,random selection of 50,34351,58417,17.58807110786438
3,random,1,random selection of 50,34423,58066,18.779227256774902
4,random,1,random selection of 50,34522,59011,22.080855131149292
5,random,1,random selection of 50,34702,59263,18.759389877319336
6,random,1,random selection of 50,34549,58264,25.38266372680664
7,random,1,random selection of 50,34864,58579,25.648324012756348
8,random,1,random selection of 50,34666,58066,20.29863715171814
9,random,1,random selection of 50,34054,58345,25.53830122947693
10,random,1,random selection of 50,35152,58489,20.577078104019165
11,random,1,random selection of 50,34819,58561,25.430243730545044
12,random,1,random selection of 50,34891,58192,24.9825701713562
13,random,1,random selection of 50,34153,57724,24.736541032791138
14,random,1,random selection of 50,33955,58228,22.924649000167847
15,random,1,random selection of 50,34612,58273,28.26052689552307
16,random,1,random selection of 50,34936,58336,30.85447597503662
17,random,1,random selection of 50,34243,58300,21.898494005203247
18,random,1,random selection of 50,33973,58588,32.587002754211426
19,random,1,random selection of 50,34009,58471,30.845093965530396
20,random,1,random selection of 50,34486,58300,31.097738027572632
21,random,1,random selection of 50,34693,57769,22.950199842453003
22,random,1,random selection of 50,34837,57958,20.826763153076172
23,random,1,random selection of 50,34387,59092,23.330567121505737
24,random,1,random selection of 50,34513,57859,22.024893760681152
25,random,1,random selection of 50,34684,58516,21.23094868659973
26,random,1,random selection of 50,33811,58381,26.14983606338501
27,random,1,random selection of 50,34171,58399,21.025027751922607
28,random,1,random selection of 50,34612,58012,29.766764879226685
29,random,1,random selection of 50,34342,57715,21.218981981277466
30,random,1,random selection of 50,34693,57985,18.431890964508057
31,random,1,random selection of 50,34783,58435,27.489887952804565
32,random,1,random selection of 50,35062,59263,23.848748922348022
33,random,1,random selection of 50,34774,58975,24.52005386352539
34,random,1,random selection of 50,34729,58237,16.03645610809326
35,random,1,random selection of 50,34828,57472,21.799845933914185
36,random,1,random selection of 50,34729,58408,23.219215869903564
37,random,1,random selection of 150,34270,58300,22.82866883277893
38,random,1,random selection of 150,35080,58777,21.99152708053589
39,random,1,random selection of 150,34684,58291,24.551279067993164
40,random,1,random selection of 150,34450,58318,24.665205001831055
41,random,1,random selection of 150,34909,57922,24.999592065811157
42,random,1,random selection of 150,34639,58075,27.036261796951294
43,random,1,random selection of 150,34180,57481,26.04934787750244
44,random,1,random selection of 150,34369,57526,25.251665115356445
45,random,1,random selection of 150,34423,57697,23.22500491142273
46,random,1,random selection of 150,34414,57481,21.20749306678772
47,random,1,random selection of 150,34612,58084,25.442140817642212
48,random,1,random selection of 150,34864,58318,20.755288124084473
49,random,1,random selection of 150,35008,57733,23.966973066329956
50,random,1,random selection of 150,34198,58111,29.821653127670288
51,random,1,random selection of 150,34306,58174,29.000232934951782
52,random,1,random selection of 150,34855,58660,22.519545793533325
53,random,1,random selection of 150,34306,57490,34.28589677810669
