,algorithm,district,parameters,shared cost,own cost,time
0,random,2,random selection of 10,32362,47428,26.942997932434082
1,random,2,random selection of 10,33190,49093,36.786217212677
2,random,2,random selection of 10,33415,49192,26.709630966186523
3,random,2,random selection of 10,32452,47923,39.864654779434204
4,random,2,random selection of 10,33802,50191,25.043099880218506
5,random,2,random selection of 10,32929,48769,33.079216957092285
6,random,2,random selection of 10,32812,48535,28.436800003051758
7,random,2,random selection of 10,33055,49246,34.59245586395264
8,random,2,random selection of 10,32767,48058,25.404331922531128
9,random,2,random selection of 10,32533,48067,26.680739879608154
10,random,2,random selection of 10,32551,47806,30.069236040115356
11,random,2,random selection of 10,32344,47608,30.075653791427612
12,random,2,random selection of 10,33685,51037,32.56284785270691
13,random,2,random selection of 10,33136,48418,22.8487069606781
14,random,2,random selection of 10,33694,50200,17.461920022964478
15,random,2,random selection of 10,34009,52045,28.88702392578125
16,random,2,random selection of 10,32551,48247,27.32631230354309
17,random,2,random selection of 10,33379,50056,25.325557947158813
