,algorithm,district,parameters,shared cost,own cost,time
0,random,1,N/A,43819,75895,0.002485036849975586
1,random,1,N/A,44368,74005,0.013752937316894531
2,random,1,N/A,46501,79540,0.003907918930053711
3,random,1,N/A,44017,74230,0.003945827484130859
4,random,1,N/A,45169,76381,0.0026001930236816406
5,random,1,N/A,45772,76228,0.003732919692993164
6,random,1,N/A,45214,77092,0.004739999771118164
7,random,1,N/A,46150,75112,0.0027399063110351562
8,random,1,N/A,46087,75976,0.003122091293334961
9,random,1,N/A,45718,76903,0.004261016845703125
10,random,1,N/A,45214,75967,0.004861116409301758
11,random,1,N/A,44314,73753,0.0038340091705322266
12,random,1,N/A,43783,71872,0.0029108524322509766
13,random,1,N/A,45268,76750,0.004044055938720703
14,random,1,N/A,45511,77173,0.0034313201904296875
15,random,1,N/A,43126,74797,0.007127046585083008
16,random,1,N/A,44800,76408,0.0024361610412597656
17,random,1,N/A,45115,76642,0.006622314453125
18,random,1,N/A,44692,74419,0.0029740333557128906
19,random,1,N/A,45403,75355,0.003936767578125
20,random,1,N/A,44593,75193,0.003805875778198242
21,random,1,N/A,44773,73402,0.0026597976684570312
22,random,1,N/A,45745,78406,0.003147125244140625
23,random,1,N/A,44503,74167,0.003288745880126953
24,random,1,N/A,44305,75040,0.016024112701416016
25,random,1,N/A,46024,78226,0.003564119338989258
26,random,1,N/A,45403,77965,0.0027811527252197266
27,random,1,N/A,46096,77821,0.0044269561767578125
28,random,1,N/A,45538,79873,0.0031919479370117188
29,random,1,N/A,45655,75697,0.003383159637451172
30,random,1,N/A,45088,74806,0.004673957824707031
31,random,1,N/A,44818,76165,0.0034530162811279297
32,random,1,N/A,45412,75742,0.003983259201049805
33,random,1,N/A,44737,74662,0.003946781158447266
34,random,1,N/A,45817,78739,0.003161907196044922
35,random,1,N/A,44557,74689,0.0029850006103515625
36,random,1,N/A,44620,77443,0.002850055694580078
37,random,1,N/A,45817,77695,0.0031690597534179688
38,random,1,N/A,44386,74095,0.0029401779174804688
39,random,1,N/A,45214,77308,0.006620883941650391
40,random,1,N/A,45628,77398,0.002777099609375
41,random,1,N/A,43936,75004,0.003965139389038086
42,random,1,N/A,44656,74995,0.0028421878814697266
43,random,1,N/A,44719,76426,0.0024292469024658203
44,random,1,N/A,45169,76804,0.0027561187744140625
45,random,1,N/A,43603,75895,0.004914999008178711
46,random,1,N/A,45592,78397,0.013417959213256836
47,random,1,N/A,44845,76696,0.004194736480712891
48,random,1,N/A,44116,76246,0.0037081241607666016
49,random,1,N/A,43864,74086,0.002373933792114258
50,random,1,N/A,45160,77740,0.007233142852783203
51,random,1,N/A,44269,74617,0.003957271575927734
52,random,1,N/A,45529,75211,0.0028209686279296875
53,random,1,N/A,44935,76084,0.004745960235595703
