,algorithm,district,parameters,shared cost,own cost,time
0,random,3,N/A,46456,72907,0.013036012649536133
1,random,3,N/A,44305,70387,0.04753613471984863
2,random,3,N/A,44404,71341,0.04040789604187012
3,random,3,N/A,45106,72241,0.019497156143188477
4,random,3,N/A,44620,69289,0.010500669479370117
5,random,3,N/A,46492,73681,0.012773275375366211
6,random,3,N/A,46276,74131,0.007244586944580078
7,random,3,N/A,44224,70279,0.007842063903808594
8,random,3,N/A,45250,69379,0.013588905334472656
9,random,3,N/A,45835,70189,0.03870415687561035
10,random,3,N/A,44305,70837,0.006933927536010742
11,random,3,N/A,43405,65311,0.015501976013183594
12,random,3,N/A,43846,68353,0.004755258560180664
13,random,3,N/A,45043,72421,0.02283477783203125
14,random,3,N/A,44116,72331,0.010445117950439453
15,random,3,N/A,43396,68335,0.03879499435424805
16,random,3,N/A,45106,69991,0.0070590972900390625
17,random,3,N/A,45106,73753,0.007725715637207031
18,random,3,N/A,45421,70423,0.005752086639404297
19,random,3,N/A,44917,71953,0.009782075881958008
20,random,3,N/A,43738,71017,0.007237911224365234
21,random,3,N/A,44323,70243,0.01610398292541504
22,random,3,N/A,45205,73483,0.038084983825683594
23,random,3,N/A,45043,70369,0.015107870101928711
24,random,3,N/A,44584,72853,0.004410982131958008
25,random,3,N/A,44476,70369,0.04206967353820801
26,random,3,N/A,44674,69829,0.007153749465942383
27,random,3,N/A,43783,69919,0.009683847427368164
28,random,3,N/A,46087,73051,0.017350196838378906
29,random,3,N/A,45295,70567,0.018759965896606445
30,random,3,N/A,44089,69577,0.009280920028686523
31,random,3,N/A,42865,67183,0.007169008255004883
32,random,3,N/A,44368,73321,0.0050411224365234375
33,random,3,N/A,43090,70549,0.012928009033203125
34,random,3,N/A,45529,72061,0.01885223388671875
35,random,3,N/A,44224,71881,0.013731956481933594
36,random,3,N/A,44512,70459,0.014175176620483398
37,random,3,N/A,46105,71953,0.019231796264648438
38,random,3,N/A,44989,72061,0.01621389389038086
39,random,3,N/A,44440,70585,0.016038179397583008
40,random,3,N/A,44728,71827,0.00567173957824707
41,random,3,N/A,44377,71557,0.010504961013793945
42,random,3,N/A,46078,70207,0.007769107818603516
43,random,3,N/A,43891,70891,0.006339073181152344
44,random,3,N/A,45826,71251,0.011170148849487305
45,random,3,N/A,45259,70207,0.031224966049194336
46,random,3,N/A,44638,70909,0.008949995040893555
47,random,3,N/A,45196,75481,0.0314030647277832
48,random,3,N/A,45439,74329,0.008588075637817383
49,random,3,N/A,44296,71845,0.042801856994628906
50,random,3,N/A,45394,72601,0.02957606315612793
51,random,3,N/A,44008,69001,0.016978979110717773
52,random,3,N/A,45340,72313,0.01478886604309082
53,random,3,N/A,45268,70675,0.0053822994232177734
